age,phone_brand,watch_owner,watch_brand,purchase_year,spent_watch,OS_pair,watch_satisfaction,frequency_wear,churn_reasons,intention_buy,intention_when,intention_price,important_reachable,important_fitnesstrack,important_voicecommands,important_sleep,important_emergency,important_payment,important_smartdevices,important_productive,important_phone_disconnect,important_fashionable,important_navigation,interested_apple,interested_samsung,interested_google,interested_amazon,interested_fitbit,interested_fossil,digital_fluency,innovators,vigorous_activities,strength_training,moderate_activities,light_activities,meditation,outdoor_activities,goal_active_lifestyle,goal_optimize_fitness,goal_mindfulness,goal_health,goals_juggling,transport_walk,transport_cycle,transport_drive,transport_train,transport_bus,transport_taxi,phone_navigate,situation1,situation2
35 - 44,Apple iPhone,No,NaN,NaN,NaN,NaN,NaN,NaN,compatibility,Not at all Considering,NaN,NaN,Moderately important,Very important,Very important,Very important,Very important,Slightly important,Slightly important,Moderately important,Very important,Very important,Moderately important,Very interested,Not interested at all,Somewhat interested,Not interested at all,Very interested,Not interested at all,Neutral,Once many people are using it,Several times a month,Less often than once a month,Several times a month,Several times a month,Several times a month,Several times a month,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Everyday,Not at all,Not at all,A few times a month,A few times a week,A few times a month,A few times a week,Living alone,NULL
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,negative reviews,Not at all Considering,NaN,NaN,Not at all important,Moderately important,Not at all important,Moderately important,Moderately important,Moderately important,Not at all important,Slightly important,Not at all important,Moderately important,Not at all important,Not interested at all,Not interested at all,Somewhat interested,Not interested at all,Somewhat interested,Somewhat interested,Neutral,Once many people are using it,Several times a week,Several times a week,Several times a week,Several times a week,Daily,Never,Strongly agree,Somewhat agree,Neutral,Strongly agree,Neutral,Everyday,Not at all,Not at all,A few times a week,A few times a week,A few times a month,Not at all,Living alone,NULL
21 - 24,Samsung Galaxy,Yes,Samsung,2021,ÃÂ£200 - ÃÂ£249,Android,Very satisfied,Daily,lack of features,Slightly Considering,In 4 to 6 months,Not sure,Extremely Important,Very important,Very important,Very important,Moderately important,Extremely Important,Very important,Very important,Extremely Important,Moderately important,Moderately important,Somewhat interested,Extremely interested,Very interested,Slightly interested,Somewhat interested,Don't know,I give others advice when they are looking to buy technology or electronics products,Among the first people,Never,Less often than once a month,Several times a month,At least once a week,Several times a month,Less often than once a month,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Neutral,A few times a week,Not at all,Rarely,A few times a month,A few times a month,Rarely,A few times a week,Living with significant other,NULL
35 - 44,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,privacy concerns,Not at all Considering,NaN,NaN,Not at all important,Slightly important,Slightly important,Very important,Slightly important,Extremely Important,Very important,Slightly important,Slightly important,Slightly important,Very important,Slightly interested,Very interested,Extremely interested,Not interested at all,Extremely interested,Somewhat interested,I give others advice when they are looking to buy technology or electronics products,Among the first people,At least once a month,Never,Daily,Daily,Daily,Less often than once a month,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Everyday,A few times a month,A few times a week,A few times a month,Not at all,Rarely,A few times a month,Living with children,NULL
25 - 34,Samsung Galaxy,Yes,Garmin,2021,ÃÂ£150 - ÃÂ£199,Android,Somewhat satisfied,Daily,lack of customization,Slightly Considering,In 1 to 2 years,Â£150 - Â£199,Not at all important,Very important,Not at all important,Very important,Not at all important,Slightly important,Not at all important,Moderately important,Very important,Moderately important,Very important,Somewhat interested,Very interested,Extremely interested,Not interested at all,Very interested,Slightly interested,I give others advice when they are looking to buy technology or electronics products,Among the first people,At least once a month,Less often than once a month,At least once a month,Several times a week,Several times a month,At least once a month,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Everyday,A few times a month,Not at all,Everyday,A few times a month,Rarely,A few times a week,Living alone,NULL
21 - 24,Apple iPhone,Yes,Fitbit,2020,ÃÂ£150 - ÃÂ£199,iOS,Somewhat satisfied,A few times a week,compatibility,Strongly Considering,In 7 to 12 months,Â£250 - Â£299,Very important,Extremely Important,Moderately important,Very important,Moderately important,Moderately important,Slightly important,Very important,Moderately important,Very important,Moderately important,Very interested,Very interested,Extremely interested,Slightly interested,Very interested,Somewhat interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",At least once a week,At least once a week,Several times a month,Several times a week,At least once a month,At least once a week,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Strongly disagree,A few times a week,Rarely,Rarely,A few times a month,A few times a month,Rarely,A few times a month,Living with significant other,NULL
25 - 34,Apple iPhone,Yes,Apple,2020,ÃÂ£500 or more,iOS,Somewhat satisfied,A few times a week,lack of customization,Strongly Considering,In 2 to 3 months,Â£400 - Â£449,Extremely Important,Extremely Important,Very important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Not interested at all,Very interested,Extremely interested,Not interested at all,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Daily,Less often than once a month,At least once a week,Daily,Less often than once a month,At least once a month,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Everyday,Everyday,Rarely,A few times a month,A few times a month,A few times a week,A few times a week,Living with significant other,NULL
25 - 34,Google Pixel,Yes,Forerunner,2018,ÃÂ£149 or less,Android,Somewhat satisfied,Daily,lack of features,Strongly Considering,In 4 to 6 months,Not sure,Moderately important,Extremely Important,Moderately important,Extremely Important,Moderately important,Moderately important,Not at all important,Moderately important,Not at all important,Moderately important,Moderately important,Very interested,Very interested,Extremely interested,Slightly interested,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Once many people are using it,Several times a week,Several times a week,Daily,Several times a week,Less often than once a month,Several times a month,Strongly agree,Strongly agree,Somewhat disagree,Neutral,Somewhat disagree,Everyday,Rarely,Not at all,A few times a week,A few times a week,Rarely,Everyday,Living alone,NULL
25 - 34,Apple iPhone,Yes,Apple,2020,ÃÂ£300 - ÃÂ£349,iOS,Somewhat satisfied,Daily,lack of customization,Strongly Considering,In 7 to 12 months,Â£300 - Â£349,Very important,Extremely Important,Slightly important,Extremely Important,Moderately important,Extremely Important,Moderately important,Extremely Important,Very important,Extremely Important,Slightly important,Extremely interested,Not interested at all,Extremely interested,Not interested at all,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a week,Several times a week,Daily,Daily,Several times a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Everyday,Not at all,Rarely,A few times a week,A few times a month,Rarely,A few times a week,Living alone,NULL
25 - 34,Apple iPhone,Yes,Apple,2020,ÃÂ£300 - ÃÂ£349,iOS,Somewhat satisfied,Daily,lack of customization,Strongly Considering,In 7 to 12 months,Â£300 - Â£349,Very important,Extremely Important,Slightly important,Extremely Important,Moderately important,Extremely Important,Moderately important,Extremely Important,Very important,Extremely Important,Slightly important,Extremely interested,Not interested at all,Extremely interested,Not interested at all,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a week,Several times a week,Daily,Daily,Several times a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Everyday,Not at all,Rarely,A few times a week,A few times a month,Rarely,A few times a week,Living alone,NULL
25 - 34,Google Pixel,Yes,Forerunner,2018,ÃÂ£149 or less,Android,Somewhat satisfied,Daily,lack of features,Strongly Considering,In 4 to 6 months,Not sure,Moderately important,Extremely Important,Moderately important,Extremely Important,Moderately important,Moderately important,Not at all important,Moderately important,Not at all important,Moderately important,Moderately important,Very interested,Very interested,Extremely interested,Slightly interested,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Once many people are using it,Several times a week,Several times a week,Daily,Several times a week,Less often than once a month,Several times a month,Strongly agree,Strongly agree,Somewhat disagree,Neutral,Somewhat disagree,Everyday,Rarely,Not at all,A few times a week,A few times a week,Rarely,Everyday,Living alone,NULL
25 - 34,Google Pixel,Yes,Forerunner,2018,ÃÂ£149 or less,Android,Somewhat satisfied,Daily,lack of features,Strongly Considering,In 4 to 6 months,Not sure,Moderately important,Extremely Important,Moderately important,Extremely Important,Moderately important,Moderately important,Not at all important,Moderately important,Not at all important,Moderately important,Moderately important,Very interested,Very interested,Extremely interested,Slightly interested,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Once many people are using it,Several times a week,Several times a week,Daily,Several times a week,Less often than once a month,Several times a month,Strongly agree,Strongly agree,Somewhat disagree,Neutral,Somewhat disagree,Everyday,Rarely,Not at all,A few times a week,A few times a week,Rarely,Everyday,Living alone,NULL
25 - 34,Apple iPhone,Yes,Apple,2020,ÃÂ£300 - ÃÂ£349,iOS,Somewhat satisfied,Daily,lack of customization,Strongly Considering,In 7 to 12 months,Â£300 - Â£349,Very important,Extremely Important,Slightly important,Extremely Important,Moderately important,Extremely Important,Moderately important,Extremely Important,Very important,Extremely Important,Slightly important,Extremely interested,Not interested at all,Extremely interested,Not interested at all,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a week,Several times a week,Daily,Daily,Several times a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Everyday,Not at all,Rarely,A few times a week,A few times a month,Rarely,A few times a week,Living alone,NULL
21 - 24,Apple iPhone,Yes,Fitbit,2017,Not sure,iOS,Neither satisfied nor dissatisfied,A few times a month,fitness inaccuracies,Not at all Considering,NaN,NaN,Not at all important,Extremely Important,Not at all important,Extremely Important,Moderately important,Moderately important,Not at all important,Not at all important,Not at all important,Extremely Important,Not at all important,Somewhat interested,Slightly interested,Somewhat interested,Don't know,Very interested,Don't know,I usually ask an expert or friend for recommendations if I need to buy something,Once many people are using it,Several times a month,Less often than once a month,Several times a month,Several times a week,Less often than once a month,Never,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,A few times a week,A few times a week,Not at all,A few times a week,A few times a week,Rarely,Everyday,Living with significant other,NULL
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,compatibility,Not at all Considering,NaN,NaN,Not at all important,Extremely Important,Not at all important,Extremely Important,Extremely Important,Extremely Important,Not at all important,Not at all important,Not at all important,Extremely Important,Extremely Important,Extremely interested,Extremely interested,Extremely interested,Not interested at all,Extremely interested,Extremely interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",At least once a week,Several times a week,Never,Daily,Never,Never,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,A few times a week,A few times a week,Not at all,A few times a week,A few times a month,Rarely,Everyday,Living with house mates,NULL
25 - 34,Apple iPhone,Yes,Mi,2019,ÃÂ£149 or less,iOS,Somewhat satisfied,Daily,negative reviews,Slightly Considering,In 1 to 2 years,Â£149 or less,Not at all important,Very important,Slightly important,Very important,Slightly important,Very important,Slightly important,Not at all important,Very important,Slightly important,Slightly important,Extremely interested,Extremely interested,Extremely interested,Slightly interested,Extremely interested,Extremely interested,I give others advice when they are looking to buy technology or electronics products,Once many people are using it,Several times a week,Less often than once a month,Several times a week,Several times a week,Less often than once a month,Less often than once a month,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,A few times a week,Not at all,A few times a week,A few times a week,Rarely,Rarely,Not at all,Living with children,NULL
25 - 34,Apple iPhone,Yes,Apple,2019,ÃÂ£200 - ÃÂ£249,iOS,Neither satisfied nor dissatisfied,A few times a month,lack of features,Strongly Considering,In 2 to 3 months,Â£250 - Â£299,Slightly important,Very important,Not at all important,Very important,Very important,Very important,Very important,Very important,Not at all important,Moderately important,Moderately important,Very interested,Not interested at all,Extremely interested,Don't know,Somewhat interested,Don't know,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",At least once a month,Never,Less often than once a month,At least once a week,Never,Never,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Everyday,Not at all,Not at all,Everyday,Not at all,Not at all,A few times a month,Living with significant other,NULL
25 - 34,Samsung Galaxy,Yes,Garmin,2021,ÃÂ£150 - ÃÂ£199,Android,Somewhat satisfied,Daily,lack of customization,Slightly Considering,In 1 to 2 years,Â£150 - Â£199,Not at all important,Very important,Not at all important,Very important,Not at all important,Slightly important,Not at all important,Moderately important,Very important,Moderately important,Very important,Somewhat interested,Very interested,Extremely interested,Not interested at all,Very interested,Slightly interested,I give others advice when they are looking to buy technology or electronics products,Among the first people,At least once a month,Less often than once a month,At least once a month,Several times a week,Several times a month,At least once a month,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Everyday,A few times a month,Not at all,Everyday,A few times a month,Rarely,A few times a week,Living alone,NULL
35 - 44,Google Pixel,Yes,Sport,2019,ÃÂ£200 - ÃÂ£249,Android,Somewhat dissatisfied,Not wearing it anymore,change lifestyle,Strongly Considering,In 4 to 6 months,Â£250 - Â£299,Moderately important,Extremely Important,Slightly important,Moderately important,Slightly important,Very important,Moderately important,Very important,Slightly important,Moderately important,Very important,Extremely interested,Somewhat interested,Extremely interested,Not interested at all,Slightly interested,Somewhat interested,Neutral,"Sooner than most people, but not among the first",At least once a week,At least once a week,At least once a week,Several times a week,Never,At least once a month,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Everyday,A few times a month,A few times a month,A few times a week,A few times a month,Rarely,A few times a week,Living with significant other,NULL
35 - 44,Apple iPhone,Yes,Sense,2020,ÃÂ£149 or less,iOS,Somewhat satisfied,Daily,lack of customization,Strongly Considering,In 4 to 6 months,Â£149 or less,Very important,Very important,Slightly important,Very important,Moderately important,Very important,Moderately important,Moderately important,Very important,Very important,Slightly important,Extremely interested,Slightly interested,Very interested,Not interested at all,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,At least once a week,Several times a month,Daily,Daily,Less often than once a month,Less often than once a month,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Everyday,Not at all,Rarely,A few times a week,Rarely,Rarely,Not at all,Living with significant other,Living with children
21 - 24,Apple iPhone,Yes,Apple,2021,ÃÂ£200 - ÃÂ£249,iOS,Somewhat satisfied,Daily,lack of customization,Slightly Considering,In 4 to 6 months,Â£250 - Â£299,Slightly important,Extremely Important,Moderately important,Very important,Moderately important,Moderately important,Slightly important,Not at all important,Very important,Moderately important,Slightly important,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Several times a week,Several times a week,At least once a week,Several times a month,Several times a week,Several times a month,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,A few times a week,A few times a week,Rarely,A few times a month,Rarely,Rarely,A few times a week,Living alone but in a relationship,Living with significant other
25 - 34,Google Pixel,Yes,Forerunner,2020,ÃÂ£150 - ÃÂ£199,Android,Very satisfied,Daily,cost,Slightly Considering,In 7 to 12 months,Â£200 - Â£249,Moderately important,Very important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Very important,Very important,Very interested,Very interested,Very interested,Slightly interested,Very interested,Slightly interested,Neutral,Once many people are using it,Several times a week,At least once a week,At least once a week,At least once a week,Several times a month,Several times a month,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,A few times a week,A few times a week,Not at all,A few times a week,A few times a week,A few times a week,A few times a week,Living with house mates,NULL
25 - 34,Google Pixel,Yes,Garmin,2020,ÃÂ£150 - ÃÂ£199,Android,Somewhat satisfied,Daily,comfort and design,Strongly Considering,In 4 to 6 months,Â£149 or less,Very important,Slightly important,Moderately important,Slightly important,Very important,Moderately important,Not at all important,Slightly important,Not at all important,Moderately important,Extremely Important,Slightly interested,Very interested,Extremely interested,Not interested at all,Extremely interested,Very interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Daily,Several times a month,Several times a week,Daily,Less often than once a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Everyday,A few times a week,A few times a week,A few times a week,A few times a month,Rarely,A few times a week,Living with significant other,NULL
25 - 34,Apple iPhone,Yes,Fitbit,2019,ÃÂ£149 or less,Android,Neither satisfied nor dissatisfied,Daily,lack of customization,Strongly Considering,In 2 to 3 months,Â£250 - Â£299,Moderately important,Extremely Important,Slightly important,Extremely Important,Very important,Extremely Important,Not at all important,Slightly important,Not at all important,Very important,Very important,Extremely interested,Not interested at all,Very interested,Not interested at all,Somewhat interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a week,At least once a week,Several times a week,Several times a week,Several times a week,Several times a month,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,A few times a week,A few times a month,Not at all,A few times a month,A few times a month,Rarely,A few times a week,Living alone but in a relationship,NULL
25 - 34,Apple iPhone,Yes,Apple,2021,ÃÂ£400 - ÃÂ£449,iOS,Very satisfied,Daily,compatibility,Slightly Considering,In 1 to 2 years,Â£400 - Â£449,Slightly important,Extremely Important,Moderately important,Extremely Important,Extremely Important,Very important,Very important,Moderately important,Moderately important,Not at all important,Moderately important,Very interested,Slightly interested,Very interested,Not interested at all,Very interested,Not interested at all,Neutral,"Sooner than most people, but not among the first",At least once a week,Several times a month,Daily,Daily,Several times a month,Less often than once a month,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Everyday,Rarely,Not at all,A few times a week,A few times a week,Rarely,A few times a month,Living alone,NULL
35 - 44,Apple iPhone,Yes,Sense,2020,ÃÂ£149 or less,iOS,Somewhat satisfied,Daily,lack of customization,Strongly Considering,In 4 to 6 months,Â£149 or less,Very important,Very important,Slightly important,Very important,Moderately important,Very important,Moderately important,Moderately important,Very important,Very important,Slightly important,Extremely interested,Slightly interested,Very interested,Not interested at all,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,At least once a week,Several times a month,Daily,Daily,Less often than once a month,Less often than once a month,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Everyday,Not at all,Rarely,A few times a week,Rarely,Rarely,Not at all,Living with significant other,Living with children
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,compatibility,Strongly Considering,In 2 to 3 months,Â£300 - Â£349,Very important,Very important,Not at all important,Extremely Important,Not at all important,Extremely Important,Very important,Extremely Important,Very important,Moderately important,Moderately important,Very interested,Very interested,Extremely interested,Not interested at all,Extremely interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Never,Never,Less often than once a month,At least once a week,Never,Less often than once a month,Somewhat disagree,Somewhat agree,Neutral,Strongly disagree,Strongly disagree,A few times a week,Not at all,Not at all,A few times a week,A few times a month,Rarely,A few times a month,Living with house mates,NULL
25 - 34,Apple iPhone,Yes,Apple,2021,ÃÂ£400 - ÃÂ£449,iOS,Very satisfied,Daily,compatibility,Slightly Considering,In 1 to 2 years,Â£400 - Â£449,Slightly important,Extremely Important,Moderately important,Extremely Important,Extremely Important,Very important,Very important,Moderately important,Moderately important,Not at all important,Moderately important,Very interested,Slightly interested,Very interested,Not interested at all,Very interested,Not interested at all,Neutral,"Sooner than most people, but not among the first",At least once a week,Several times a month,Daily,Daily,Several times a month,Less often than once a month,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Everyday,Rarely,Not at all,A few times a week,A few times a week,Rarely,A few times a month,Living alone,NULL
35 - 44,Google Pixel,Yes,Ticwatch,2020,ÃÂ£250 - ÃÂ£299,Android,Very satisfied,Daily,long sync,Strongly Considering,In 7 to 12 months,Â£300 - Â£349,Moderately important,Not at all important,Slightly important,Not at all important,Not at all important,Extremely Important,Slightly important,Very important,Not at all important,Slightly important,Not at all important,Not interested at all,Not interested at all,Extremely interested,Not interested at all,Slightly interested,Slightly interested,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a month,Less often than once a month,Several times a month,Daily,Never,Less often than once a month,Somewhat disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Everyday,A few times a month,Rarely,Everyday,Rarely,Rarely,A few times a month,Living alone,NULL
21 - 24,Apple iPhone,Yes,Fitbit,2017,Not sure,iOS,Neither satisfied nor dissatisfied,A few times a month,fitness inaccuracies,Not at all Considering,NaN,NaN,Not at all important,Extremely Important,Not at all important,Extremely Important,Moderately important,Moderately important,Not at all important,Not at all important,Not at all important,Extremely Important,Not at all important,Somewhat interested,Slightly interested,Somewhat interested,Don't know,Very interested,Don't know,I usually ask an expert or friend for recommendations if I need to buy something,Once many people are using it,Several times a month,Less often than once a month,Several times a month,Several times a week,Less often than once a month,Never,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,A few times a week,A few times a week,Not at all,A few times a week,A few times a week,Rarely,Everyday,Living with significant other,NULL
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,long sync,Strongly Considering,In 2 to 3 months,Â£149 or less,Moderately important,Extremely Important,Very important,Extremely Important,Slightly important,Very important,Slightly important,Moderately important,Very important,Very important,Very important,Not interested at all,Slightly interested,Very interested,Slightly interested,Very interested,Very interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Several times a week,Several times a week,Several times a week,At least once a week,Several times a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,A few times a week,Not at all,Not at all,A few times a week,A few times a week,Rarely,Everyday,Living alone,NULL
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,compatibility,Not at all Considering,NaN,NaN,Not at all important,Extremely Important,Not at all important,Extremely Important,Extremely Important,Extremely Important,Not at all important,Not at all important,Not at all important,Extremely Important,Extremely Important,Extremely interested,Extremely interested,Extremely interested,Not interested at all,Extremely interested,Extremely interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",At least once a week,Several times a week,Never,Daily,Never,Never,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,A few times a week,A few times a week,Not at all,A few times a week,A few times a month,Rarely,Everyday,Living with house mates,NULL
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,negative reviews,Not at all Considering,NaN,NaN,Not at all important,Moderately important,Not at all important,Moderately important,Moderately important,Moderately important,Not at all important,Slightly important,Not at all important,Moderately important,Not at all important,Not interested at all,Not interested at all,Somewhat interested,Not interested at all,Somewhat interested,Somewhat interested,Neutral,Once many people are using it,Several times a week,Several times a week,Several times a week,Several times a week,Daily,Never,Strongly agree,Somewhat agree,Neutral,Strongly agree,Neutral,Everyday,Not at all,Not at all,A few times a week,A few times a week,A few times a month,Not at all,Living alone,NULL
25 - 34,Google Pixel,Yes,Forerunner,2018,ÃÂ£149 or less,Android,Somewhat satisfied,Daily,lack of features,Strongly Considering,In 4 to 6 months,Not sure,Moderately important,Extremely Important,Moderately important,Extremely Important,Moderately important,Moderately important,Not at all important,Moderately important,Not at all important,Moderately important,Moderately important,Very interested,Very interested,Extremely interested,Slightly interested,Very interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Once many people are using it,Several times a week,Several times a week,Daily,Several times a week,Less often than once a month,Several times a month,Strongly agree,Strongly agree,Somewhat disagree,Neutral,Somewhat disagree,Everyday,Rarely,Not at all,A few times a week,A few times a week,Rarely,Everyday,Living alone,NULL
25 - 34,Apple iPhone,Yes,Apple,2019,ÃÂ£200 - ÃÂ£249,iOS,Neither satisfied nor dissatisfied,A few times a month,lack of features,Strongly Considering,In 2 to 3 months,Â£250 - Â£299,Slightly important,Very important,Not at all important,Very important,Very important,Very important,Very important,Very important,Not at all important,Moderately important,Moderately important,Very interested,Not interested at all,Extremely interested,Don't know,Somewhat interested,Don't know,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",At least once a month,Never,Less often than once a month,At least once a week,Never,Never,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Everyday,Not at all,Not at all,Everyday,Not at all,Not at all,A few times a month,Living with significant other,NULL
25 - 34,Google Pixel,Yes,Garmin,2020,ÃÂ£150 - ÃÂ£199,Android,Somewhat satisfied,Daily,comfort and design,Strongly Considering,In 4 to 6 months,Â£149 or less,Very important,Slightly important,Moderately important,Slightly important,Very important,Moderately important,Not at all important,Slightly important,Not at all important,Moderately important,Extremely Important,Slightly interested,Very interested,Extremely interested,Not interested at all,Extremely interested,Very interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Daily,Several times a month,Several times a week,Daily,Less often than once a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Everyday,A few times a week,A few times a week,A few times a week,A few times a month,Rarely,A few times a week,Living with significant other,NULL
35 - 44,Apple iPhone,No,NaN,NaN,NaN,NaN,NaN,NaN,compatibility,Not at all Considering,NaN,NaN,Moderately important,Very important,Very important,Very important,Very important,Slightly important,Slightly important,Moderately important,Very important,Very important,Moderately important,Very interested,Not interested at all,Somewhat interested,Not interested at all,Very interested,Not interested at all,Neutral,Once many people are using it,Several times a month,Less often than once a month,Several times a month,Several times a month,Several times a month,Several times a month,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Everyday,Not at all,Not at all,A few times a month,A few times a week,A few times a month,A few times a week,Living alone,NULL
35 - 44,Apple iPhone,Yes,Garmin,2020,ÃÂ£500 or more,iOS,Very satisfied,Daily,fitness inaccuracies,Not at all Considering,NaN,NaN,Very important,Extremely Important,Moderately important,Extremely Important,Extremely Important,Very important,Moderately important,Moderately important,Not at all important,Extremely Important,Extremely Important,Extremely interested,Very interested,Extremely interested,Not interested at all,Very interested,Slightly interested,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a week,Less often than once a month,At least once a week,At least once a week,Less often than once a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,A few times a month,A few times a month,A few times a month,A few times a week,A few times a month,Rarely,A few times a week,Living alone,NULL
25 - 34,Google Pixel,Yes,Vivoactive,2018,ÃÂ£300 - ÃÂ£349,Android,Somewhat satisfied,Daily,lack of customization,Strongly Considering,In 4 to 6 months,Â£300 - Â£349,Slightly important,Extremely Important,Moderately important,Extremely Important,Very important,Extremely Important,Extremely Important,Very important,Slightly important,Moderately important,Moderately important,Very interested,Somewhat interested,Extremely interested,Slightly interested,Very interested,Very interested,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a week,At least once a week,Several times a week,Daily,Less often than once a month,Less often than once a month,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Everyday,Everyday,A few times a month,A few times a month,Rarely,A few times a month,A few times a week,Living alone but in a relationship,Living with significant other
25 - 34,Apple iPhone,Yes,Versa,2020,ÃÂ£150 - ÃÂ£199,iOS,Somewhat dissatisfied,Not wearing it anymore,negative reviews,Not at all Considering,NaN,NaN,Not at all important,Extremely Important,Not at all important,Extremely Important,Not at all important,Extremely Important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Very interested,Very interested,Extremely interested,Not interested at all,Extremely interested,Not interested at all,Neutral,Once many people are using it,Several times a week,Less often than once a month,At least once a week,Several times a month,At least once a week,Several times a week,Somewhat disagree,Strongly disagree,Neutral,Neutral,Neutral,A few times a week,Not at all,Not at all,A few times a month,A few times a month,A few times a month,Not at all,Living with house mates,NULL
